epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5274,1.46285,2.11049,1.62957,0.6534,0.20915,0.35753,0.12794,1.68663,3.48197,2.20924,0.000648649,0.000648649,0.000648649
2,24.8829,1.40984,1.63634,1.54847,0.78239,0.61101,0.67779,0.34334,1.53095,2.17856,2.67843,0.00130229,0.00130229,0.00130229
3,33.8905,1.43628,1.54689,1.59159,0.19981,0.26797,0.17039,0.05525,2.33137,2.79032,2.80543,0.00194274,0.00194274,0.00194274
4,43.0181,1.52943,1.50488,1.64936,0.17298,0.31373,0.10749,0.03748,2.30584,3.02472,2.69587,0.0019406,0.0019406,0.0019406
5,52.1907,1.4889,1.39745,1.61254,0.4903,0.4902,0.42637,0.16232,1.88339,2.01002,2.59935,0.0019208,0.0019208,0.0019208
6,61.5255,1.44998,1.31429,1.59602,0.65852,0.77124,0.70565,0.33934,1.54491,1.60302,1.96211,0.001901,0.001901,0.001901
7,70.7858,1.3996,1.2159,1.54164,0.73561,0.81046,0.74208,0.31533,1.8001,1.27319,2.29787,0.0018812,0.0018812,0.0018812
8,80.0387,1.42151,1.17063,1.55663,0.65421,0.66667,0.71285,0.39505,1.53684,1.32099,1.86651,0.0018614,0.0018614,0.0018614
9,89.7045,1.36635,1.10389,1.5162,0.78741,0.83007,0.83284,0.47067,1.44592,1.07275,1.79458,0.0018416,0.0018416,0.0018416
10,99.5572,1.34187,1.08068,1.49975,0.82108,0.83983,0.8491,0.48277,1.45913,1.0088,1.82671,0.0018218,0.0018218,0.0018218
11,109.03,1.34366,1.06795,1.50487,0.81964,0.75817,0.8291,0.46334,1.47556,1.19039,1.79933,0.001802,0.001802,0.001802
12,118.593,1.34681,1.03188,1.48088,0.85378,0.73856,0.84436,0.46188,1.45581,1.26044,1.85623,0.0017822,0.0017822,0.0017822
13,127.691,1.31331,0.99556,1.45456,0.83662,0.83673,0.87668,0.52304,1.27816,0.93916,1.67157,0.0017624,0.0017624,0.0017624
14,137.204,1.3269,1.00624,1.47532,0.80578,0.86776,0.86694,0.50737,1.45468,0.93655,1.77169,0.0017426,0.0017426,0.0017426
15,146.608,1.27887,0.93643,1.44444,0.84025,0.85621,0.87308,0.4917,1.4324,0.97638,1.80548,0.0017228,0.0017228,0.0017228
16,155.974,1.30527,0.97691,1.46735,0.89321,0.82004,0.89411,0.54327,1.35294,0.85243,1.69903,0.001703,0.001703,0.001703
17,165.195,1.26085,0.94068,1.41001,0.94224,0.85297,0.93269,0.57297,1.28674,0.85144,1.6481,0.0016832,0.0016832,0.0016832
18,174.485,1.23699,0.9049,1.41105,0.91714,0.86814,0.93142,0.52869,1.43307,0.82433,1.78064,0.0016634,0.0016634,0.0016634
19,183.779,1.25334,0.88776,1.42646,0.88733,0.92657,0.94195,0.59611,1.27236,0.79338,1.62352,0.0016436,0.0016436,0.0016436
20,193.055,1.21979,0.86435,1.39117,0.90821,0.86928,0.91181,0.56137,1.28405,0.80514,1.59668,0.0016238,0.0016238,0.0016238
21,202.276,1.21309,0.86696,1.4021,0.9646,0.89039,0.95594,0.60611,1.2181,0.76417,1.60145,0.001604,0.001604,0.001604
22,211.897,1.22893,0.87483,1.40481,0.88003,0.86297,0.90784,0.55699,1.37198,0.81347,1.72818,0.0015842,0.0015842,0.0015842
23,221.354,1.20446,0.85273,1.37805,0.96518,0.87582,0.93193,0.60037,1.19038,0.77972,1.52628,0.0015644,0.0015644,0.0015644
24,230.596,1.19879,0.83083,1.3781,0.97092,0.90196,0.93841,0.57492,1.26905,0.74541,1.5903,0.0015446,0.0015446,0.0015446
25,239.959,1.17961,0.81776,1.36166,0.94378,0.87783,0.93754,0.58406,1.23948,0.71791,1.60678,0.0015248,0.0015248,0.0015248
26,249.229,1.1726,0.81026,1.36507,0.87081,0.83707,0.9134,0.55944,1.31914,0.79854,1.73345,0.001505,0.001505,0.001505
27,258.372,1.16252,0.81054,1.36036,0.91786,0.9085,0.94163,0.59649,1.1842,0.74335,1.55085,0.0014852,0.0014852,0.0014852
28,267.62,1.16734,0.77492,1.35367,0.9463,0.89542,0.94617,0.60115,1.25713,0.68367,1.63,0.0014654,0.0014654,0.0014654
29,276.78,1.17214,0.77796,1.35793,0.94511,0.90029,0.9533,0.59302,1.27229,0.71986,1.58859,0.0014456,0.0014456,0.0014456
30,285.917,1.14795,0.77914,1.33931,0.95312,0.93013,0.96177,0.65554,1.1312,0.61539,1.48235,0.0014258,0.0014258,0.0014258
31,295.005,1.13375,0.76091,1.32939,0.89431,0.8849,0.94145,0.61803,1.1873,0.72661,1.5204,0.001406,0.001406,0.001406
32,304.243,1.1222,0.73555,1.3335,0.93035,0.92157,0.95301,0.62482,1.1462,0.69626,1.53338,0.0013862,0.0013862,0.0013862
33,313.343,1.13512,0.74819,1.31698,0.95268,0.92108,0.96124,0.64552,1.11633,0.61845,1.485,0.0013664,0.0013664,0.0013664
34,322.492,1.11095,0.72096,1.31416,0.9548,0.9085,0.94392,0.62768,1.19853,0.62327,1.57266,0.0013466,0.0013466,0.0013466
35,331.62,1.11336,0.73352,1.32194,0.94948,0.91503,0.96556,0.64817,1.13792,0.6628,1.44822,0.0013268,0.0013268,0.0013268
36,340.823,1.06989,0.69125,1.2908,0.96069,0.86275,0.95129,0.63518,1.14601,0.65071,1.50217,0.001307,0.001307,0.001307
37,350.017,1.09432,0.72439,1.314,0.94027,0.926,0.951,0.61767,1.11452,0.62459,1.50549,0.0012872,0.0012872,0.0012872
38,359.175,1.07739,0.69704,1.29908,0.87041,0.87801,0.93008,0.55108,1.30327,0.75275,1.61961,0.0012674,0.0012674,0.0012674
39,368.241,1.07911,0.69508,1.29887,0.95288,0.92521,0.96981,0.65453,1.12056,0.58514,1.46107,0.0012476,0.0012476,0.0012476
40,377.284,1.07566,0.68747,1.29603,0.92745,0.94771,0.94745,0.62876,1.11889,0.60857,1.46087,0.0012278,0.0012278,0.0012278
41,386.316,1.04888,0.6543,1.27437,0.95075,0.87582,0.93461,0.62376,1.14891,0.6525,1.52421,0.001208,0.001208,0.001208
42,395.503,1.06556,0.69837,1.29117,0.95907,0.89542,0.95679,0.63509,1.11894,0.61413,1.48736,0.0011882,0.0011882,0.0011882
43,404.711,1.02884,0.66265,1.26933,0.9461,0.9178,0.93536,0.62165,1.18176,0.63477,1.52149,0.0011684,0.0011684,0.0011684
44,413.81,1.0604,0.66692,1.2797,0.91827,0.86928,0.92987,0.55323,1.29716,0.72905,1.58206,0.0011486,0.0011486,0.0011486
45,422.869,1.0296,0.6678,1.26248,0.9534,0.93597,0.96263,0.64976,1.06583,0.5882,1.43124,0.0011288,0.0011288,0.0011288
46,432.036,1.02913,0.65952,1.2663,0.90401,0.91503,0.94351,0.63145,1.15482,0.63691,1.50868,0.001109,0.001109,0.001109
47,441.12,1.01939,0.6541,1.26276,0.93788,0.93464,0.94496,0.64751,1.10391,0.61555,1.45919,0.0010892,0.0010892,0.0010892
48,450.264,1.02906,0.63658,1.27439,0.95877,0.93464,0.96499,0.65114,1.05733,0.59358,1.42351,0.0010694,0.0010694,0.0010694
49,459.393,1.0207,0.63448,1.26235,0.94708,0.94118,0.96012,0.6454,1.12045,0.5896,1.44363,0.0010496,0.0010496,0.0010496
50,468.524,1.0229,0.63162,1.26875,0.94031,0.95425,0.96631,0.65775,1.1144,0.56393,1.45693,0.0010298,0.0010298,0.0010298
51,477.644,1.00448,0.62701,1.24957,0.95603,0.91503,0.97465,0.65091,1.10016,0.56193,1.4445,0.00101,0.00101,0.00101
